F,G,P
1.03276000000e01,1.00142551174e00,-2.74983677082e-03
1.04713000000e01,1.00143337155e00,-3.28334607184e-03
1.06170000000e01,1.00142064272e00,-2.81124236062e-03
1.07647000000e01,1.00142150056e00,-2.96523631550e-03
1.09144000000e01,1.00142861123e00,-3.46754887141e-03
1.10662000000e01,1.00142552176e00,-3.33784311078e-03
1.12202000000e01,1.00142344688e00,-3.44100128859e-03
1.13763000000e01,1.00143133933e00,-2.96203373000e-03
1.15345000000e01,1.00142911839e00,-2.23960471340e-03
1.16950000000e01,1.00142732531e00,-2.89352075197e-03
1.18577000000e01,1.00141582291e00,-2.40504927933e-03
1.20226000000e01,1.00141476510e00,-2.64037190937e-03
1.21899000000e01,1.00142168938e00,-2.42015812546e-03
1.23595000000e01,1.00142427593e00,-2.60147661902e-03
1.25314000000e01,1.00142114009e00,-2.32878327370e-03
1.27057000000e01,1.00143035720e00,-2.58347205818e-03
1.28825000000e01,1.00141797638e00,-1.98481231928e-03
1.30617000000e01,1.00142467200e00,-2.18148506247e-03
1.32434000000e01,1.00142461417e00,-2.39813071676e-03
1.34276000000e01,1.00141737092e00,-2.89482413791e-03
1.36144000000e01,1.00142039099e00,-2.62535898946e-03
1.38038000000e01,1.00139042900e00,-3.24921007268e-03
1.39959000000e01,1.00140652181e00,-3.05960001424e-03
1.41906000000e01,1.00143778640e00,-2.61210161261e-03
1.43880000000e01,1.00143278299e00,-2.78055784293e-03
1.45881000000e01,1.00139501010e00,-2.85849906504e-03
1.47911000000e01,1.00141389299e00,-2.09840736352e-03
1.49968000000e01,1.00142090366e00,-2.41148984060e-03
1.52055000000e01,1.00140652418e00,-3.24931833893e-03
1.54170000000e01,1.00140949047e00,-2.58185062557e-03
1.56315000000e01,1.00142729740e00,-2.64299823903e-03
1.58489000000e01,1.00142447276e00,-2.99069634639e-03
1.60694000000e01,1.00141667425e00,-2.59509892203e-03
1.62930000000e01,1.00141297819e00,-2.89325020276e-03
1.65196000000e01,1.00140847944e00,-2.87656160071e-03
1.67494000000e01,1.00141175398e00,-2.41952715442e-03
1.69824000000e01,1.00140694255e00,-2.36720126122e-03
1.72187000000e01,1.00139984604e00,-3.48784052767e-03
1.74582000000e01,1.00140853414e00,-2.07786331885e-03
1.77011000000e01,1.00141629308e00,-2.56391405128e-03
1.79473000000e01,1.00140365886e00,-2.21466529183e-03
1.81970000000e01,1.00140989326e00,-2.19562579878e-03
1.84502000000e01,1.00140307465e00,-2.44343164377e-03
