F,G,P
1.78650000000e00,1.00120095058e00,1.25913147349e-03
1.81130000000e00,1.00123641552e00,-1.05977198109e-03
1.83650000000e00,1.00120884083e00,-5.27698488440e-04
1.86210000000e00,1.00121180545e00,9.38146375120e-04
1.88800000000e00,1.00120496621e00,8.91271192813e-05
1.91430000000e00,1.00123143797e00,-9.06455621589e-04
1.94090000000e00,1.00120069777e00,8.59652820509e-04
1.96790000000e00,1.00123573489e00,-3.54073010385e-04
1.99530000000e00,1.00121324091e00,-9.23504630919e-05
2.02300000000e00,1.00120597823e00,7.04425678123e-04
2.05120000000e00,1.00121813259e00,-2.14446894825e-03
2.07970000000e00,1.00121743117e00,-7.03512865584e-04
2.10860000000e00,1.00118035348e00,1.61485164426e-03
2.13800000000e00,1.00120628628e00,-7.62037932873e-04
2.16770000000e00,1.00119496504e00,-5.59882668313e-04
2.19790000000e00,1.00122580755e00,-1.18728470989e-03
2.22840000000e00,1.00119805599e00,2.56395607721e-04
2.25940000000e00,1.00121946597e00,3.24284454109e-04
2.29090000000e00,1.00120261131e00,-2.41419090889e-03
2.32270000000e00,1.00124245278e00,3.72598937247e-04
2.35500000000e00,1.00124267618e00,4.67929115985e-04
2.38780000000e00,1.00120969858e00,-1.67489645537e-03
2.42100000000e00,1.00124597166e00,7.62608615332e-05
2.45470000000e00,1.00119310837e00,4.45112382295e-04
2.48890000000e00,1.00121972764e00,6.28511406831e-05
2.52350000000e00,1.00122695003e00,4.87249644721e-06
2.55860000000e00,1.00120968556e00,-9.05225460883e-04
2.59420000000e00,1.00123181534e00,1.77556590643e-04
2.63030000000e00,1.00120072495e00,-2.96255078865e-04
2.66690000000e00,1.00121712733e00,-9.13234660402e-04
2.70400000000e00,1.00122757116e00,5.73628582060e-04
2.74160000000e00,1.00124588468e00,-1.22476345859e-03
2.77970000000e00,1.00120506119e00,-5.19808731042e-04
2.81840000000e00,1.00123665831e00,-1.63554912433e-03
2.85760000000e00,1.00123527102e00,-1.23736995738e-03
2.89730000000e00,1.00123166013e00,1.72426473000e-04
2.93760000000e00,1.00122991005e00,-9.88345011137e-04
2.97850000000e00,1.00119873070e00,1.50714814663e-03
3.02000000000e00,1.00121267208e00,2.58485815721e-04
3.06200000000e00,1.00123507851e00,-3.36761411745e-04
3.10460000000e00,1.00123789299e00,1.48123099279e-05
3.14770000000e00,1.00121334916e00,-2.44876689976e-04
3.19150000000e00,1.00123867972e00,-6.58563658362e-05
3.23590000000e00,1.00121399064e00,3.53136827471e-04
3.28100000000e00,1.00122849259e00,-2.47889693128e-04
3.32660000000e00,1.00127457032e00,-1.44623464439e-03
3.37290000000e00,1.00120778773e00,-1.55312567949e-03
3.41980000000e00,1.00122364666e00,-1.06513791252e-03
3.46740000000e00,1.00122382941e00,-1.15116429515e-03
3.51560000000e00,1.00121609131e00,-9.49061301071e-04
3.56450000000e00,1.00122052130e00,-3.24318534695e-04
3.61410000000e00,1.00120435198e00,-1.69201265089e-03
3.66440000000e00,1.00120965519e00,-1.75002845936e-03
3.71540000000e00,1.00121934838e00,-1.64087978192e-03
3.76700000000e00,1.00121567974e00,-2.19699926674e-03
3.81940000000e00,1.00124507682e00,-1.19297124911e-04
3.87260000000e00,1.00123666758e00,-7.74824409746e-04
3.92640000000e00,1.00121705842e00,-1.22370966710e-03
3.98110000000e00,1.00123601475e00,-1.31516472902e-03
4.03650000000e00,1.00124171018e00,-4.24941390520e-05
4.09260000000e00,1.00123915580e00,-5.07751072291e-04
4.14950000000e00,1.00123569937e00,-1.18335010484e-03
4.20730000000e00,1.00121262116e00,-7.52323830966e-04
4.26580000000e00,1.00120867427e00,-2.41273827851e-03
4.32510000000e00,1.00121683649e00,-9.17007448152e-04
4.38530000000e00,1.00124214989e00,-8.36917548440e-04
4.44630000000e00,1.00121647204e00,-6.15827215370e-04
4.50820000000e00,1.00121823195e00,-7.09567801096e-04
4.57090000000e00,1.00121368014e00,-1.21240504086e-03
4.63450000000e00,1.00124565449e00,2.98489903798e-04
4.69890000000e00,1.00123660935e00,-1.18255033158e-04
4.76430000000e00,1.00122703779e00,-3.32077359781e-03
4.83060000000e00,1.00122358040e00,-1.24762707856e-03
4.89780000000e00,1.00123439218e00,-2.27174302563e-03
4.96590000000e00,1.00122653800e00,-2.64579989016e-03
5.03500000000e00,1.00125319831e00,-3.27389861923e-04
5.10500000000e00,1.00123426472e00,3.49828012986e-04
5.17610000000e00,1.00120952097e00,3.03433189401e-04
5.24810000000e00,1.00121992445e00,-1.21074600611e-03
5.32110000000e00,1.00122363265e00,-8.56294878758e-04
5.39510000000e00,1.00121686061e00,-9.48466185946e-04
5.47020000000e00,1.00120338103e00,-9.04305838048e-04
5.54630000000e00,1.00121828402e00,-1.47740915418e-03
5.62340000000e00,1.00122785665e00,-3.29922215315e-04
5.70160000000e00,1.00120645949e00,-2.58317613043e-03
5.78100000000e00,1.00120092890e00,-1.06189516373e-03
5.86140000000e00,1.00122254831e00,2.69633048447e-04
5.94290000000e00,1.00124407927e00,-2.63503845781e-03
6.02560000000e00,1.00127026907e00,-1.95287622046e-03
